game_id,parent_id,year,iteration,reimplementation,expansion,compilation
224517,28720,2018,2,1,0,0
161936,30549,2015,2,1,0,0
233078,12493,2017,2,1,0,0
115746,9609,2011,2,1,0,0
220308,120677,2017,2,1,0,0
182028,25613,2015,2,1,0,0
173346,68448,2015,2,1,0,0
246900,72125,2020,2,1,0,0
266507,201808,2019,2,1,0,0
183394,128621,2015,2,1,0,1
341169,193738,2021,2,1,0,0
324856,284083,2021,2,1,0,0
256960,155255,2019,3,1,0,0
102794,31260,2013,2,1,0,0
170216,23985,2015,2,1,0,0
314040,30549,2020,3,1,0,0
221107,30549,2017,3,1,0,0
205059,83330,2016,2,1,0,0
284378,109276,2020,2,1,0,0
2651,12166,2004,2,1,0,0
164153,17226,2014,3,1,0,0
124742,1301,2012,2,1,0,0
200680,31260,2016,2,1,0,0
146021,15987,2013,2,1,0,0
12493,26055,2005,2,1,0,0
256916,124361,2018,2,1,0,0
233371,201808,2017,2,1,0,0
175640,42052,2016,2,1,0,0
198928,30549,2016,2,1,0,0
132531,28143,2014,2,1,0,0
175155,22827,2015,2,1,0,0
233398,33160,2018,2,1,0,0
254640,241611,2018,2,1,0,0
146652,129437,2014,2,1,0,0
14996,9209,2005,2,1,0,0
328871,167791,2021,2,1,0,0
283948,171623,2019,2,1,0,0
265188,66362,2019,2,1,0,0
287954,230802,2019,3,1,0,0
104162,17226,2012,2,1,0,0
10630,551,2004,2,1,0,0
209418,36218,2016,2,1,0,0
39463,15,2008,4,1,0,0
17133,4098,2005,2,1,0,0
128882,41114,2012,2,1,0,0
294484,3284,2020,2,1,0,0
103343,6472,2011,2,1,0,0
31627,9209,2007,2,1,0,0
283355,121,2019,2,1,0,0
306735,273779,2020,2,1,0,0
176189,113924,2015,2,1,0,0
232832,209685,2017,2,1,0,0
192291,133473,2016,2,1,0,0
339789,233867,2021,2,1,0,0
274637,3284,2019,2,1,0,0
194655,9963,2016,2,1,0,0
198994,147020,2016,2,1,0,0
20551,3307,2006,2,1,0,0
364073,148228,2022,2,1,0,0
27833,4098,2009,2,1,0,0
260605,153938,2018,2,1,0,0
277659,134253,2021,2,1,0,0
760,372,2000,3,1,0,0
155873,2651,2014,2,1,0,0
299659,40765,2021,4,1,0,0
316377,68448,2020,2,1,0,0
187617,39232,2017,3,1,0,0
244271,266967,2018,1,0,0,1
181279,20963,2015,2,1,0,0
154203,73369,2014,2,1,0,0
156546,22303,2015,2,1,0,0
54138,24181,2009,2,1,0,0
59294,25,2010,2,1,0,0
257499,15987,2018,3,1,0,0
40692,60,2009,2,1,0,0
297562,127023,2021,2,1,0,0
