game_id,Abstract Games,Children's Games,Customizable Games,Family Games,Party Games,Strategy Games,Thematic Games,Wargames
224517,0,0,0,0,0,1,0,0
161936,0,0,0,0,0,1,1,0
174430,0,0,0,0,0,1,1,0
342942,0,0,0,0,0,1,0,0
233078,0,0,0,0,0,1,1,0
167791,0,0,0,0,0,1,0,0
291457,1,0,0,0,0,1,1,0
316554,0,0,0,0,0,1,0,0
115746,0,0,0,0,0,0,1,1
187645,0,0,0,0,0,0,1,0
162886,0,0,0,0,0,1,0,0
220308,0,0,0,0,0,1,0,0
182028,0,0,0,0,0,1,0,0
12333,0,0,0,0,0,1,0,1
193738,0,0,0,0,0,1,0,0
169786,0,0,0,0,0,1,0,0
84876,0,0,0,0,0,1,0,0
173346,0,0,0,0,0,1,0,0
167355,0,0,0,0,0,0,1,0
28720,0,0,0,0,0,1,0,0
246900,0,0,0,0,0,1,0,0
124361,0,0,0,0,0,1,0,0
177736,0,0,0,0,0,1,0,0
266507,0,0,0,0,0,0,1,0
266192,0,0,0,1,0,1,0,0
120677,0,0,0,0,0,1,0,0
205637,0,1,1,0,0,0,1,0
237182,0,0,0,0,0,1,0,1
312484,0,0,0,1,0,1,0,0
164928,0,0,0,0,0,1,0,0
199792,0,0,0,1,0,1,0,0
96848,0,0,0,0,0,1,1,0
183394,0,0,0,0,0,1,0,0
341169,0,0,0,0,0,1,0,0
251247,0,0,0,0,0,1,0,0
324856,0,0,0,1,0,0,0,0
175914,1,0,0,0,0,1,0,0
192135,0,0,0,0,0,1,1,0
285774,0,0,1,0,0,0,0,0
256960,0,0,0,0,0,1,0,0
3076,0,0,0,0,0,1,0,0
247763,0,0,0,0,0,1,0,0
102794,0,0,0,0,0,1,0,0
170216,0,0,0,0,0,1,0,0
185343,0,0,0,0,0,1,0,0
31260,0,0,0,0,0,1,0,0
295947,1,0,0,1,0,0,0,0
184267,0,0,0,0,0,1,0,0
314040,0,0,0,0,0,1,1,0
221107,0,0,0,0,0,1,1,0
